"location";"hits";"keyword";"geo";"gprop";"month_year";"sigla_uf";"cod_uf"
"State of Espírito Santo";26;"zika virus";"BR";"web";"06-2016";"ES";32
"State of Espírito Santo";26;"zika virus";"BR";"web";"11-2016";"ES";32
"State of Espírito Santo";41;"zika virus";"BR";"web";"04-2016";"ES";32
"State of Espírito Santo";34;"zika virus";"BR";"web";"07-2016";"ES";32
"State of Espírito Santo";35;"zika virus";"BR";"web";"08-2016";"ES";32
"State of Espírito Santo";41;"zika virus";"BR";"web";"05-2016";"ES";32
"State of Goiás";33;"zika virus";"BR";"web";"07-2016";"GO";52
"State of Goiás";37;"zika virus";"BR";"web";"12-2016";"GO";52
"State of Goiás";52;"zika virus";"BR";"web";"04-2016";"GO";52
"State of Goiás";43;"zika virus";"BR";"web";"06-2016";"GO";52
"State of Goiás";37;"zika virus";"BR";"web";"09-2016";"GO";52
"State of Goiás";78;"zika virus";"BR";"web";"03-2016";"GO";52
"State of Goiás";44;"zika virus";"BR";"web";"01-2016";"GO";52
"State of Goiás";54;"zika virus";"BR";"web";"05-2016";"GO";52
"State of Goiás";33;"zika virus";"BR";"web";"10-2016";"GO";52
"State of Goiás";31;"zika virus";"BR";"web";"11-2016";"GO";52
"State of Goiás";35;"zika virus";"BR";"web";"08-2016";"GO";52
"State of Goiás";74;"zika virus";"BR";"web";"02-2016";"GO";52
"State of Maranhão";9;"zika virus";"BR";"web";"12-2016";"MA";21
"State of Maranhão";49;"zika virus";"BR";"web";"09-2016";"MA";21
"State of Maranhão";27;"zika virus";"BR";"web";"01-2016";"MA";21
"State of Maranhão";83;"zika virus";"BR";"web";"10-2016";"MA";21
"State of Maranhão";25;"zika virus";"BR";"web";"11-2016";"MA";21
"State of Maranhão";100;"zika virus";"BR";"web";"04-2016";"MA";21
"State of Maranhão";25;"zika virus";"BR";"web";"08-2016";"MA";21
"State of Maranhão";93;"zika virus";"BR";"web";"05-2016";"MA";21
"State of Maranhão";93;"zika virus";"BR";"web";"03-2016";"MA";21
"State of Maranhão";55;"zika virus";"BR";"web";"07-2016";"MA";21
"State of Maranhão";65;"zika virus";"BR";"web";"06-2016";"MA";21
"State of Maranhão";63;"zika virus";"BR";"web";"02-2016";"MA";21
"State of Mato Grosso";100;"zika virus";"BR";"web";"01-2016";"MT";51
"State of Mato Grosso";32;"zika virus";"BR";"web";"11-2016";"MT";51
"State of Mato Grosso";28;"zika virus";"BR";"web";"07-2016";"MT";51
"State of Mato Grosso";64;"zika virus";"BR";"web";"09-2016";"MT";51
"State of Mato Grosso";61;"zika virus";"BR";"web";"03-2016";"MT";51
"State of Mato Grosso";82;"zika virus";"BR";"web";"10-2016";"MT";51
"State of Mato Grosso";33;"zika virus";"BR";"web";"04-2016";"MT";51
"State of Mato Grosso";45;"zika virus";"BR";"web";"12-2016";"MT";51
"State of Mato Grosso";38;"zika virus";"BR";"web";"05-2016";"MT";51
"State of Mato Grosso";22;"zika virus";"BR";"web";"06-2016";"MT";51
"State of Mato Grosso";61;"zika virus";"BR";"web";"08-2016";"MT";51
"State of Mato Grosso";58;"zika virus";"BR";"web";"02-2016";"MT";51
"State of Mato Grosso do Sul";34;"zika virus";"BR";"web";"11-2016";"MS";50
"State of Mato Grosso do Sul";23;"zika virus";"BR";"web";"07-2016";"MS";50
"State of Mato Grosso do Sul";16;"zika virus";"BR";"web";"12-2016";"MS";50
"State of Mato Grosso do Sul";53;"zika virus";"BR";"web";"08-2016";"MS";50
"State of Mato Grosso do Sul";49;"zika virus";"BR";"web";"10-2016";"MS";50
"State of Mato Grosso do Sul";41;"zika virus";"BR";"web";"05-2016";"MS";50
"State of Mato Grosso do Sul";41;"zika virus";"BR";"web";"09-2016";"MS";50
"State of Mato Grosso do Sul";43;"zika virus";"BR";"web";"04-2016";"MS";50
"State of Mato Grosso do Sul";81;"zika virus";"BR";"web";"03-2016";"MS";50
"State of Mato Grosso do Sul";32;"zika virus";"BR";"web";"06-2016";"MS";50
