Evaporacao Piche;Insolacao;Precipitacao;Temp Comp Media;TempMaxima;TempMinima;Umidade Relativa Media;Velocidade do Vento Media;Ano;Mes;UF
0.0;2.6808988764044948;7.36067415730337;24.926292134831453;31.0685393258427;23.10561797752809;87.13202247191012;0.37378786516853957;2016.0;1.0;AC 
4.6664516129032245;6.088387096774195;5.5264516129032275;26.336129032258064;31.812258064516108;22.159354838709675;76.47258064516129;2.2967741806451607;2016.0;1.0;AL 
0.0;2.8765903307888054;5.387277353689568;25.839083969465662;30.837404580152644;21.756997455470735;76.96882951653944;0.9080257175572524;2016.0;1.0;AM 
3.303225806451612;4.8516129032258055;3.7516129032258068;26.696774193548386;31.98709677419355;23.883870967741935;78.63709677419355;1.9623655483870974;2016.0;1.0;AP 
0.08753246753246754;4.30805194805195;11.418181818181838;18.51057142857142;22.702207792207798;21.115454545454526;55.77045454545455;0.8921334805194796;2016.0;1.0;BA 
4.452905198776763;4.426605504587155;6.774311926605504;26.302813455657493;31.492660550458705;22.382874617737006;77.72859327217125;2.2772868960244654;2016.0;1.0;CE 
2.108620689655172;3.56551724137931;10.844827586206895;21.27379310344827;26.55344827586206;18.051724137931036;83.40948275862068;1.601506189655173;2016.0;1.0;DF 
3.1241935483870953;5.367741935483871;5.550000000000001;26.824193548387097;31.39838709677419;23.640322580645158;41.45161290322581;0.8924731129032258;2016.0;1.0;ES 
2.5345161290322595;2.418709677419355;11.570645161290324;21.697032258064503;26.43096774193549;21.02483870967742;74.50322580645161;1.3113746838709701;2016.0;1.0;GO 
2.2774193548387087;3.5909090909090917;8.824926686217012;24.455542521994136;31.989442815249276;23.55219941348972;73.11876832844575;0.9321114574780061;2016.0;1.0;MA 
2.7059454191033145;2.9668615984405493;12.983040935672525;17.928148148148132;24.815009746588657;20.01803118908384;70.57041910331384;1.282764786549708;2016.0;1.0;MG 
1.4376344086021502;3.6946236559139796;8.43010752688172;8.932258064516128;21.3247311827957;6.869892473118278;79.91935483870968;1.7221038064516125;2016.0;1.0;MS 
0.0;2.7967272727272716;9.646181818181816;18.364509090909092;24.00618181818182;21.34181818181818;86.5909090909091;0.5727431999999996;2016.0;1.0;MT 
2.5260215053763435;4.375053763440859;6.600000000000002;23.714451612903208;29.92451612903225;23.47462365591398;76.16989247311828;1.4464516064516146;2016.0;1.0;PA 
2.882162162162163;4.728108108108108;4.7751351351351365;25.868108108108107;30.81945945945945;22.221081081081085;78.32027027027027;2.443063064864864;2016.0;1.0;PB 
4.138306451612903;5.209677419354838;5.758467741935485;22.251209677419347;26.90282258064517;19.10483870967742;67.28629032258064;2.18037633467742;2016.0;1.0;PE 
3.5503521126760553;4.436971830985916;8.456338028169005;23.48147887323942;32.1676056338028;22.665492957746487;66.60827464788733;1.8357724894366192;2016.0;1.0;PI 
2.9923387096774197;4.314112903225808;7.628629032258063;17.776290322580635;21.866532258064527;19.326209677419357;80.07459677419355;1.4448924959677403;2016.0;1.0;PR 
3.310752688172043;2.496236559139785;8.278494623655913;25.381612903225793;30.702688172043004;21.834408602150535;51.23790322580645;0.7849462258064513;2016.0;1.0;RJ 
4.823655913978494;5.67258064516129;6.151612903225805;23.386881720430104;27.559677419354827;24.021505376344088;76.87768817204301;2.3821082419354838;2016.0;1.0;RN 
0.0;3.30483870967742;0.016129032258064516;16.49096774193549;20.19193548387097;23.882258064516122;56.36693548387097;2.7118732258064515;2016.0;1.0;RR 
3.6746236559139795;7.452043010752689;3.5498924731182804;24.226451612903215;29.968817204301118;19.72344086021507;68.05860215053764;1.6296057268817212;2016.0;1.0;RS 
2.77536231884058;6.078743961352655;4.447826086956521;22.801352657004834;28.220289855072465;18.639613526570045;73.19927536231884;2.041706956521738;2016.0;1.0;SC 
0.0;5.809677419354839;4.011827956989247;27.179354838709667;31.658064516129034;23.640860215053753;75.4274193548387;1.5433199999999998;2016.0;1.0;SE 
2.3814345991561185;3.0886075949367093;11.381012658227851;17.890126582278484;27.679746835443044;16.408438818565408;50.38818565400844;1.3247538734177213;2016.0;1.0;SP 
2.53010752688172;3.0032258064516126;13.791935483870969;25.783010752688163;30.83548387096773;22.849462365591403;76.24462365591398;1.0473181290322588;2016.0;1.0;TO 
0.0;2.206779661016949;8.993220338983052;26.018305084745762;31.10847457627119;23.845762711864417;86.54661016949153;0.5856477966101696;2016.0;2.0;AC 
5.9284482758620705;8.61810344827586;1.228448275862069;26.71827586206896;32.45172413793102;23.14568965517242;72.92672413793103;2.328160922413793;2016.0;2.0;AL 
0.0;3.2947916666666686;8.440625000000002;26.78039930555554;26.283333333333324;23.77430555555556;82.88975694444444;0.9546347291666665;2016.0;2.0;AM 
2.03448275862069;4.73103448275862;18.21379310344828;27.044827586206893;32.00000000000001;23.799999999999997;85.34482758620689;0.8482759310344827;2016.0;2.0;AP 
0.0;8.094992636229753;0.7210603829160531;19.20942562592047;23.841973490427097;20.65699558173783;54.921944035346094;0.9175063917525763;2016.0;2.0;BA 
4.550156739811913;6.636363636363635;2.371786833855798;24.48840125391848;32.63761755485894;20.59717868338557;73.75548589341693;2.3948331003134773;2016.0;2.0;CE 
4.843103448275863;7.979310344827588;4.572413793103447;22.115517241379308;29.463793103448282;16.910344827586208;69.5603448275862;1.3750570689655168;2016.0;2.0;DF 
4.734482758620689;9.30344827586207;0.35172413793103446;14.461379310344828;33.837931034482764;24.755172413793098;34.78448275862069;0.9942529137931034;2016.0;2.0;ES 
